[20:55:09] [main/INFO]: ModLauncher running: args [--username, Fast_xiang, --version, 异界随行诗0.57, --gameDir, /storage/emulated/0/minecraft/versions/异界随行诗0.57, --assetsDir, /storage/emulated/0/minecraft/assets, --assetIndex, 5, --uuid, 3194f9fea6f93118be8b70008ebfef87, --accessToken, ❄❄❄❄❄❄❄❄, --clientId, ${clientid}, --xuid, ${auth_xuid}, --userType, msa, --versionType, Fold Craft Launcher, --width, 2320, --height, 1080, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.6, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[20:55:09] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.10-internal by N/A; OS Linux arch aarch64 version Android-12
[20:55:18] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.20-all.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file bendy-lib-forge-4.0.0.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file BiomesOPlenty-forge-1.20.1-19.0.0.96.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.13.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file bossdpstracker-0.0.2.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Bountiful-6.0.4+1.20.1-forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file caelus-forge-3.2.0+1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file celestisynth-1.20.1-1.3.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file chloride-FORGE-mc1.20.1-v1.5.4.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file citadel-2.6.1-1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file cloth-config-11.1.136-forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file collective-1.20.1-7.94.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file collectorsreap-1.20.1-1.3.4.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file constructionwand-1.20.1-2.11.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file coroutil-forge-1.20.1-1.3.7.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file corpse-forge-1.20.1-1.0.20.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file corpsecurioscompat-1.20.1-Forge-1.2.0.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file cosmeticarmorreworked-1.20.1-v1a.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file create-1.20.1-6.0.4.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file create_rustic_structures-1.0.0-forge-1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file createaddition-1.20.1-1.3.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file culturaldelights-0.16.3.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file curios-forge-5.12.1+1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Delightful-1.20.1-3.7.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file displaydelight-0.0.1-lite.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file domesticationinnovation-1.7.1-1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file domum_ornamentum-1.20.1-1.0.285-snapshot-universal.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file dummmmmmy-1.20-2.0.6.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file eccentrictome-1.20.1-1.10.3.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file embeddium-0.3.31+mc1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.20.1-17.1.19.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file entityculling-forge-1.7.3-mc1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file entityjs-0.5.1-1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file EventJS-1.20.1-1.3.0.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file exposure-1.20.1-1.7.13-forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file fabric-api-0.92.2+1.11.12+1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file fancymenu_forge_3.4.6_MC_1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.7.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file fast-1.20.1-forge-0.0.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file flerovium-forge-1.20.1-1.2.14-all.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file framework-forge-1.20.1-0.7.12.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file fruitsdelight-1.0.21.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file ftb-chunks-forge-2001.3.6.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file ftb-essentials-forge-2001.2.2.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file ftb-library-forge-2001.2.9.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file ftb-quests-forge-2001.4.12.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file ftb-teams-forge-2001.3.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file ftb-ultimine-forge-2001.1.5.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file ftb-xmod-compat-forge-2.1.2.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file functionalstorage-1.20.1-1.2.12.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file GameStages-Forge-1.20.1-15.0.2.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.7.1.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file GlitchCore-forge-1.20.1-0.0.1.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file gnetum-2.1.3.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file GrimoireOfGaia4-1.20.1-4.0.0-alpha.11.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file happy_ghast-3.0.0-forge-1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file hmag-forge-mc1.20.1-9.0.29.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Iceberg-1.20.1-forge-1.1.25.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file incontrol-1.20-9.2.11.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file inventoryhud.forge.1.20.1-3.4.26.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file InventoryProfilesNext-forge-1.20-1.10.14.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file irons_spellbooks-1.20.1-3.4.0.7.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file irons_spells_js-1.20.1-3.1.1-release.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file item-filters-forge-2001.1.0-build.59.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file ItemBorders-1.20.1-forge-1.2.2.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Jade-1.20.1-Forge-11.13.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file JadeAddons-1.20.1-Forge-5.5.0.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file jecharacters-1.20.1-forge-4.5.11.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file jei-1.20.1-forge-15.20.0.106.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file JustEnoughResources-1.20.1-1.4.0.247.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file kaleidoscopedoll-1.20.1-forge-1.0.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Kambrik-6.1.1+1.20.1-forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Kiwi-1.20.1-Forge-11.8.30.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file konkrete_forge_1.8.0_MC_1.20-1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file kotlinforforge-4.11.0-all.jar of type LIBRARY with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file kubejs-create-forge-2001.3.0-build.8.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file kubejs-forge-2001.6.5-build.16.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file kubejsadditions-forge-4.3.3.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file kubejsdelight-1.1.2.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file l2library-2.5.0.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file L_Enders_Cataclysm-3.03.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file lanserverproperties-1.11.1-forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file lavafishing-1.20.1-1.1.3-all.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file ldlib-forge-1.20.1-1.0.45.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file libIPN-forge-1.20-4.0.2.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file lionfishapi-2.4-Fix.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file liosplayeranimatorapi-forge-1.20.1-0.0.8.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file lithostitched-forge-1.20.1-1.4.4.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file lootjs-forge-1.20.1-2.12.0.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file lootr-forge-1.20-0.7.35.90.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Loquat-1.20.1-Forge-2.1.4.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Lychee-1.20.1-Forge-5.1.19.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file maid_sword_soaring-1.20.1-forge-1.0.7.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file maid_travel_camera-1.20.1-forge-0.0.2.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file maidaddition-1.1.4-beta-all.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file maidsoulkitchen-1.20.1-alpha-v0.2.5-all.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Mantle-1.20.1-1.11.79.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file melody_forge_1.0.3_MC_1.20.1-1.20.4.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file memory_of_the_past-1.6.3-forge-1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file minecraft-comes-alive-7.6.3+1.20.1-universal.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file MobLassos-v8.0.1-1.20.1-Forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file modernfix-forge-5.20.2+mc1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file moonlight-1.20-2.13.78-forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file morejs-forge-1.20.1-0.10.0.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file MouseTweaks-forge-mc1.20.1-2.25.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file mowziesmobs-1.7.2.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file multiblocked2-1.20.1-1.0.25.a.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file MutantMonsters-v8.0.7-1.20.1-Forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file mysterious_mountain_lib-1.5.23-1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file NaturesCompass-1.20.1-1.11.2-forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file nbtedit-forge-5.2.8.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file nerb-1.20.1-0.2.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file netmusic-forge-1.20.1-1.1.5-release.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file oculus-mc1.20.1-1.8.0.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file OpenLoader-Forge-1.20.1-19.0.4.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file OverflowingBars-v8.0.1-1.20.1-Forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Patchouli-1.20.1-84.1-FORGE.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Pehkui-3.8.2+1.20.1-forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file PinTooltips-1.20.1-Forge-1.3.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file player-animation-lib-forge-1.0.2-rc1+1.20.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file plonk-1.20.1-10.0.5-forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file powerfuljs-1.6.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file Prism-1.20.1-forge-1.0.5.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file PuzzlesLib-v8.1.29-1.20.1-Forge.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file questsadditions-1.4.7.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file refinedstorage-1.12.4.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file refinedstorageaddons-0.10.0.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file refurbished_furniture-forge-1.20.1-1.0.8.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
[20:55:18] [main/INFO]: Found mod file remnant_ossukage-1.1.0-forge-1.20.1.jar of type MOD with provider {mods folder locator at /storage/emulated/0/minecraft/versions/异界随行诗0.57/mods}
